lp,Temp,CaO,MgO,SiO2,Fe_total,MnO,Al2O3,TiO2,V2O5
4.736198448,1649,40,8.63,7.8,27.5,3.38,0.91,0.45,1.473
4.436093856,1654,39.6,9.99,9.2,23,4.14,2.6,0.68,1.945
4.49980967,1664,44.8,8.8,11,20.2,3.45,1.58,0.76,2.07
4.140864578,1680,42.4,8.1,11.5,21.1,3.76,2.47,0.88,2.161
4.081441157,1671,48.8,11.73,11.8,13.3,3.26,1.48,0.78,1.976
4.382026635,1637,46.7,10.93,11.7,16.7,3.51,1.87,0.76,2.185
4.65396035,1654,44.6,9.42,11.5,20,3.64,1.48,0.81,2.083
4.422848629,1640,44.1,8.45,13.7,16.7,4.11,1.22,1,2.645
3.995904489,1660,49.2,10.73,13,14.9,3.52,1.64,0.87,2.256
4.238238742,1650,47.2,12.18,14,13.6,3.4,1.63,1.02,2.368
3.746699025,1659,42.8,11.57,14.7,16.5,3.56,1.75,0.96,2.229
4.39332619,1636,41.4,9.75,14.4,18.8,3.96,1.11,1.04,2.066
3.922494305,1677,49.8,9.11,14,13.1,3.56,1.54,1.11,2.662
4.648655298,1652,47,9.52,13.4,15.2,3.68,1.57,1.04,2.286
4.332755586,1661,49.4,9.45,14,13.4,3.75,1.57,1.1,2.351
3.324236341,1669,49.5,8.76,13.5,13.9,3.76,1.58,1.05,2.48
4.137829674,1684,49,9.47,14.1,13.5,3.64,1.41,1.08,2.549
3.997180814,1674,48.2,8.77,14.3,13.3,3.96,1.74,1.15,2.68
4.7993262,1660,47.5,12.1,12,14.9,3.49,1.27,0.92,2.105
3.912023005,1684,47,12.37,13.4,15.4,3.56,1.45,0.88,2.125
4.713383771,1623,44,10.8,11.3,19.4,3.53,1.38,0.65,1.74
4.371555335,1640,45.9,10.62,14.5,14.9,3.39,1.86,0.92,2.032
3.80666249,1667,45.2,8.7,12.7,15.2,3.3,1.6,0.96,2.275
3.899444223,1712,42.4,12.97,12.6,17.9,3.6,1.73,0.75,1.908
4.286716455,1656,47.5,12.14,11.2,15.6,3.43,1.81,0.78,1.838
4.796708398,1630,43,11.92,11.5,18.2,4.18,1.85,0.85,2.352
4.364008129,1654,50.7,10.52,14.4,12.6,3.68,1.81,1,2.565
4.230476737,1630,41.4,8.69,14.8,18.3,4.43,2.13,1.09,2.53
4.356708827,1638,40.9,14.35,12.3,17.6,3.59,1.73,0.73,1.893
5.288267031,1611,41.8,10.14,11.7,19.8,4.04,1.74,0.85,2.169
4.720481032,1637,45.1,9.25,13.3,16.1,4.1,1.98,1,2.222
4.442651256,1658,46.2,9.3,13.4,16.1,4.14,1.41,0.99,2.248
4.422848629,1668,46.2,8.9,13.4,15.3,4.11,1.47,1.02,2.338
4.834011758,1623,46.2,9.15,12.6,16.9,4.01,1.01,1,2.134
4.553876892,1664,46.6,8.47,12.4,17,3.91,1.37,0.98,2.244
4.489657299,1676,48.2,9.13,12,15.8,3.72,1.71,0.95,2.165
4.722953222,1654,46.2,9.27,11.6,18.4,3.85,1.45,0.87,2.044
4.559707812,1651,47.4,8.06,12.3,17.1,4.03,2.33,0.94,2.088
4.332755586,1645,46.5,9.71,12.4,16,4.19,1.49,0.99,2.335
4.641984159,1642,46.5,8.78,10.8,17.3,3.76,1.76,0.88,1.991
4.404499491,1668,48.7,8.47,12.1,15.7,3.77,1.92,0.94,2.191
5.099866428,1619,44.8,9.58,10.7,19.5,3.85,1.53,0.85,1.954
4.527208645,1616,40.3,9.98,14.2,16.6,5.56,2.32,1.12,2.624
4.33073334,1644,41.2,7.55,14.1,18.4,5.35,2.53,1.2,2.788
4.442651256,1636,39,7.53,12.5,21.5,5.14,2.74,1.1,2.472
4.49980967,1633,37.6,7.9,11.7,21.8,4.99,1.98,1,2.408
4.181355939,1676,39.9,8.13,10,25.2,4.05,1.77,0.8,1.756
4.144354983,1686,42.9,9.62,11.2,20.5,4.07,1.48,0.86,2.02
4.382026635,1654,44.6,10.33,12.2,16.8,4.12,2.35,1.01,2.266
4.586821047,1642,44.2,7.69,13.1,17.5,4.92,2.2,1.18,2.663
4.422848629,1672,43.6,8.98,11.6,18.4,4.8,1.8,1.01,2.549
4.179502371,1697,43.8,8.1,11.1,19.1,4.6,2.11,0.99,2.456
4.49980967,1644,42.4,7.7,12.2,19.1,5.16,2.28,1.11,2.597
4.044082727,1687,40.3,8.03,12.7,20.6,4.81,1.78,1.17,2.582
